0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.69	1.11	0.08	
0.01	0.01	17.06	16.46	9.34	
1.02	1.02	36.34	36.44	21.2	
9.87	9.87	42.51	42.74	35.78	
20.29	20.29	64.72	60.97	54.1	
22.12	22.12	90.22	77.89	62.46	
14.01	14.01	83.67	71.27	65.26	
16.25	16.25	80.34	68.78	66.3	
12.11	12.11	77.12	70.91	67.41	
17.89	17.89	77.95	70.75	69.27	
17.88	17.88	78.23	69.03	70.38	
14.49	14.49	77.67	73.8	70.04	
17.17	17.17	77.23	76.68	70.56	
16.6	16.6	75.75	78.09	68.89	
17.59	17.59	70.92	77.45	69.28	
14.35	14.35	65.88	72.52	67.64	
15.18	15.18	63.62	71.6	68.01	
14.44	14.44	65.45	75.09	69.69	
14.04	14.04	69.79	78.51	70.08	
13.46	13.46	72.19	79.49	70	
12.88	12.88	67.69	74.58	69.69	
9.86	9.86	65.17	75.26	69.81	
8.94	8.94	65.65	73.18	69.83	
11.69	11.69	66.71	79.22	68.13	
12.97	12.97	66.45	82.1	68.7	
16.8	16.8	67.41	79.84	70	
16.63	16.63	61.79	74.83	73.03	
18.07	18.07	59.82	72.33	71.97	
21.88	21.88	61.19	73.61	71.18	
24.15	24.15	59.4	74.06	69.01	
24.84	24.84	60.01	73.23	68.96	
24.86	24.86	61.8	71.27	70.01	
24.35	24.35	58.34	69.34	69.52	
23.71	23.71	54.75	68.77	69.42	
25.7	25.7	54.86	71.07	68.73	
23.01	23.01	54.71	70.83	69.55	
23.84	23.84	55.93	69.73	69.24	
23.66	23.66	57.53	71.29	68.56	
22.3	22.3	56.28	68.87	68.12	
14.32	14.32	61.22	74.27	66.38	
6.45	6.45	66.41	75.4	65.18	
9.54	9.54	87.34	72.79	66.93	
16.23	16.23	86.03	75.95	66.21	
16.46	16.46	82.27	75.1	65.83	
9.16	9.16	75.52	77.25	64.7	
13.62	13.62	72.96	74.59	65.29	
15.43	15.43	76	74.32	67.34	
17.87	17.87	78.62	74.84	66.59	
21.51	21.51	78.75	74.09	68.76	
21.83	21.83	76.78	71.46	68.89	
26.04	26.04	75.11	74.22	70.17	
27.29	27.29	74	73.1	69.27	
28.4	28.4	71.52	67.76	68.83	
31.47	31.47	65.12	69.82	69.24	
34.15	34.15	69.38	68.56	68.82	
35.06	35.06	70.24	70.78	69.5	
36.57	36.57	70.51	70.94	69.8	
33.7	33.7	72.15	70.58	69.42	
30.2	30.2	70.03	72.52	67.88	
28.33	28.33	69.93	73.29	66.84	
28.68	28.68	67.75	81.31	62.97	
33.7	33.7	65.84	81.17	63.82	
35.44	35.44	59.2	75.76	65.83	
35.81	35.81	63.92	77.99	67.79	
37.55	37.55	61.03	77.3	68.05	
37.39	37.39	58	80.08	66.99	
37.2	37.2	59.52	81.1	65.29	
38.57	38.57	60.1	81.14	65.94	
38.68	38.68	55.07	80.05	64.88	
35.98	35.98	54.52	79.81	64.51	
36.75	36.75	54.75	79.83	64.21	
34.6	34.6	56.59	80.2	64.3	
32.31	32.31	55.2	80.49	64.95	
32.37	32.37	54.58	81.45	64.88	
33.74	33.74	55.5	80.31	61.25	
30.97	30.97	60.61	78.36	56.48	
23.81	23.81	57.62	67.16	47.84	
24.46	24.46	84.3	67.51	62.04	
24.59	24.59	85.43	64.36	64.22	
20.13	20.13	85.83	61.71	65.07	
20.38	20.38	86.3	71.79	65.86	
23.67	23.67	78.85	74.85	68.08	
28.81	28.81	79.06	72.94	67.94	
31.27	31.27	75.4	73.46	67.78	
30.31	30.31	70.45	72.54	67.39	
28.95	28.95	68.95	69.12	68.8	
29.94	29.94	65.67	66.32	66.86	
29.24	29.24	61.61	65.48	66.78	
37.29	37.29	55.89	65.87	66.34	
38.39	38.39	59.18	66.43	68.73	
44.08	44.08	58.3	66.54	68.38	
46.34	46.34	54.57	67.17	69.74	
48.12	48.12	49.14	73.52	69.41	
50.47	50.47	51.79	71.74	68.99	
50.82	50.82	60.07	70.55	68.33	
55.2	55.2	64.8	75.81	65.76	
52.8	52.8	59.56	76.07	67.31	
57.19	57.19	61.18	75.84	67.67	
57.76	57.76	59.44	75.41	65.97	
63.33	63.33	51.61	76.75	64.89	
70.38	70.38	43.85	76.15	62.75	
69.18	69.18	46.75	76.45	63.01	
70.09	70.09	35.59	76.06	62.97	
74.76	74.76	49.61	76.84	62.61	
70.31	70.31	46.65	76.79	67.62	
69.9	69.9	53.15	75.97	69.24	
70.81	70.81	50	75.85	68.09	
65.77	65.77	46.48	75.92	68.08	
68.06	68.06	41.09	76.48	70.15	
66.63	66.63	37.36	74.81	71.04	
66.38	66.38	41.99	74.07	69.67	
67.5	67.5	55.21	75.52	68.69	
69.17	69.17	62.41	75.79	66.82	
69.91	69.91	75.49	72.46	61.77	
67.8	67.8	88.38	73.58	61.28	
67.19	67.19	87.07	74.06	62.71	
67.17	67.17	85.2	70.33	62.12	
68.31	68.31	81.09	69.52	63.02	
70.55	70.55	77.72	70.9	64.35	
71.4	71.4	76.62	73.49	64.39	
69.97	69.97	78.33	75.39	64.83	
70.27	70.27	76.54	75.91	65.34	
69.9	69.9	74.77	75.96	66.42	
68.48	68.48	73.48	76.01	67.29	
69.58	69.58	72.82	75.88	68.74	
71	71	66.21	76.29	68.5	
70.29	70.29	63.03	76.95	69.54	
69.75	69.75	66.81	76.81	69.09	
68.9	68.9	67.5	74.14	68.58	
